measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108215417.244281_UY_webconnectivity_7d052db4e1eec0c1,http://www.museomarino.com/,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,403,,
20250108203928.104888_UY_webconnectivity_f6f15861b079adca,http://www.partypoker.com/,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,403,,
20250108203927.380611_UY_webconnectivity_4d6a542d6bdf3563,http://www.goldenrivieracasino.com/,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203802.658203_UY_webconnectivity_894df36384660146,https://www.zodiaccasino.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203757.936326_UY_webconnectivity_460f2a7c90339e7e,https://www.zamba.co,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203752.702760_UY_webconnectivity_9384f5934b395959,https://www.yukongoldcasino.eu,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203749.837060_UY_webconnectivity_fafe433e68a6fd04,https://www.yocasino.es,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203750.625694_UY_webconnectivity_0ca1306f26a3642d,https://www.yobingo.es,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203749.034543_UY_webconnectivity_f0369f6af4978966,https://www.yesbingo.co.uk,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203747.188002_UY_webconnectivity_5a687544dc503142,https://www.yakocasino.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203746.221276_UY_webconnectivity_82a1b627308123fe,https://www.vivelasuerte.es,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,-1,,
20250108203745.320737_UY_webconnectivity_6a6d5531170a7604,https://www.virgingames.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203744.417641_UY_webconnectivity_4f5ccecc5dd9df89,https://www.villento.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203743.153477_UY_webconnectivity_ea1a468e15c5aebb,https://www.videoslots.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,403,,
20250108203742.430055_UY_webconnectivity_b09b2de152fa2a0b,https://www.vernons.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203741.626697_UY_webconnectivity_01ca4bf209954c76,https://www.versus.es,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203740.267342_UY_webconnectivity_bb43acf48c6356c7,https://www.verajohn.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,403,,
20250108203739.524156_UY_webconnectivity_e48afc9060099541,https://www.vegasslotcasino.es,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,-1,,
20250108203723.141829_UY_webconnectivity_61862945a58d279c,https://www.vegasred.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203722.342810_UY_webconnectivity_b0f7b2be64eb5ca9,https://www.vegasparadise.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203720.230885_UY_webconnectivity_17522cd38ca39850,https://www.vegaspalmscasino.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203718.133347_UY_webconnectivity_d874be5ead8fcb3e,https://www.vegasdays.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203717.258933_UY_webconnectivity_f49e959005b26f7f,https://www.vaidebet.com,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,403,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203715.879578_UY_webconnectivity_6c0ea49756187758,https://www.v9bet.plus,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203712.104423_UY_webconnectivity_a99549762463a303,https://www.uniquecasino.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203710.788840_UY_webconnectivity_ebe53100f97ca3be,https://www.unibet.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,503,,
20250108203710.109084_UY_webconnectivity_02fdcbbf20fe4877,https://www.ukcasino-club.co.uk,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203708.482376_UY_webconnectivity_9411b52cd47720df,https://www.turbovegas.com,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203706.384920_UY_webconnectivity_f46163c5e47e5325,https://www.tsars.com,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,403,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203705.077889_UY_webconnectivity_df97cbfb51415149,https://www.totosi.it,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203704.252740_UY_webconnectivity_0e75a8783202e2e4,https://www.tombola.es,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203703.085565_UY_webconnectivity_3084098610585cda,https://www.titanpoker.com,,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203701.754453_UY_webconnectivity_a2ff02b8c0df7485,https://www.titancasino.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,-1,,
20250108203700.860754_UY_webconnectivity_c6755a7d94eaac6c,https://www.thisisvegas.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203700.068999_UY_webconnectivity_53362b454392df2c,https://www.thepokerpractice.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
20250108203657.733700_UY_webconnectivity_c16ce7ac729a68d5,https://www.thelotter.com,android_dns_cache_no_data,,inconsistent,False,AS19422,200.58.141.25,200,,
