measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status,category
20250111154053.804014_UY_webconnectivity_c2b70db6a385ac80,http://casino.com,android_dns_cache_no_data,,inconsistent,False,AS6057,200.40.53.104,200,,,GMB
20250111154051.656894_UY_webconnectivity_567d4e842b0b0b41,http://www.betfair.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111154050.608982_UY_webconnectivity_6d2683317f2017bf,http://www.888casino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111153748.003377_UY_webconnectivity_462bb258baf34fb7,https://www.patria.org.ve/,android_dns_cache_no_data,,inconsistent,False,AS6057,200.40.53.104,-1,,,OTHER
20250111151751.130816_UY_webconnectivity_4c467ebca7664be8,https://www.bet365.com/,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111151750.262481_UY_webconnectivity_d531af786e325b8b,https://www.juegaenlinea.com/,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111133733.989323_UY_webconnectivity_39154123a0b21c70,http://www.museomarino.com/,android_dns_cache_no_data,,inconsistent,False,AS6057,200.40.53.104,403,,,OTHER
20250111132736.327907_UY_webconnectivity_f6abd3abe3fd20fc,http://www.asambleanacional.gob.ve/,android_dns_cache_no_data,,inconsistent,False,AS6057,200.40.53.104,-1,,,GOVT
20250111125027.747851_UY_webconnectivity_c96224998b9613fd,https://www.zodiaccasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111125023.008252_UY_webconnectivity_842b4f6afd884a08,https://www.zamba.co,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125017.828042_UY_webconnectivity_4e8940418d82e600,https://www.yukongoldcasino.eu,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111125015.597729_UY_webconnectivity_834bf3d2e7973f7f,https://www.yobingo.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",SRCH
20250111125014.627692_UY_webconnectivity_a05fc0e890c663bf,https://www.yocasino.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111125013.525453_UY_webconnectivity_8bf139867f477d51,https://www.yesbingo.co.uk,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",SRCH
20250111125011.095510_UY_webconnectivity_0913078e1af70ba8,https://www.yakocasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111125009.828198_UY_webconnectivity_74f2917f7008b95c,https://www.vivelasuerte.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125008.855982_UY_webconnectivity_0bedb68b6af5e27a,https://www.virgingames.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125007.897624_UY_webconnectivity_52a51cfda7c2d3d8,https://www.villento.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125006.627853_UY_webconnectivity_f7f21dc28443e67d,https://www.videoslots.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",MMED
