measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status,category
20250111125004.813722_UY_webconnectivity_fdc32b8416872a64,https://www.versus.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125005.667256_UY_webconnectivity_ea0c36f1c989ed09,https://www.vernons.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125004.147843_UY_webconnectivity_1bae05a69365bca8,https://www.verajohn.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111125003.447780_UY_webconnectivity_b8b30830c82e71f8,https://www.vegasslotcasino.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124947.094988_UY_webconnectivity_acaf4eae6ec3c882,https://www.vegasred.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124946.284571_UY_webconnectivity_ae0b135b8636a1ad,https://www.vegasparadise.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124944.995013_UY_webconnectivity_e2bd2f5e555658d6,https://www.vegaspalmscasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124943.404585_UY_webconnectivity_09512ed41751cbb0,https://www.vegashero.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124942.754680_UY_webconnectivity_8ba70b31a5d8ccd6,https://www.vegasdays.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124941.874473_UY_webconnectivity_8b2ffb965fc95e50,https://www.vaidebet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124941.014614_UY_webconnectivity_200a7bee72655042,https://www.v9bet.plus,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124938.597782_UY_webconnectivity_cc7041fae9e8e5e2,https://www.v9bet.bet,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124937.348689_UY_webconnectivity_b9cd524ab9a281be,https://www.urubet.net,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124936.674751_UY_webconnectivity_fafa3dad1f13f9a9,https://www.uniquecasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124935.476297_UY_webconnectivity_b2da5889344944c3,https://www.unibet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,503,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124934.754517_UY_webconnectivity_cfa26480dbbf2620,https://www.ukcasino-club.co.uk,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124933.165128_UY_webconnectivity_5fdef634eebafc1e,https://www.turbovegas.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124931.924909_UY_webconnectivity_ae4d471d2ed24eca,https://www.ts-casinoclub.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124931.306892_UY_webconnectivity_123a037a75ad63b3,https://www.tsars.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",PUBH
20250111124930.606215_UY_webconnectivity_b5c568fcaf959a49,https://www.totosi.it,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124929.316990_UY_webconnectivity_8e24d2711bd3dbb5,https://www.tombola.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124928.036690_UY_webconnectivity_9d1290f115f72758,https://www.titanpoker.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124927.086147_UY_webconnectivity_21e1bd409448435f,https://www.titancasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124926.114513_UY_webconnectivity_cf6389815bba805c,https://www.thisisvegas.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124925.155242_UY_webconnectivity_86676803f3288646,https://www.thepokerpractice.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124918.524534_UY_webconnectivity_7c0c956ac9341e6f,https://www.thelotter.uy,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124917.794831_UY_webconnectivity_6ca5f3f936c76a5d,https://www.thelotter.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124916.314872_UY_webconnectivity_4d28abd0d82ab638,https://www.tastybingo.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",SRCH
20250111124913.634685_UY_webconnectivity_ad3885783ab4fa36,https://www.superiorcasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124911.194489_UY_webconnectivity_54abe2ae4eff8d3a,https://www.sunvegascasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124910.444585_UY_webconnectivity_d5e2c6d9b4194bac,https://www.suertia.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124908.524313_UY_webconnectivity_ab03e0f68257f488,https://www.strendus.com.mx,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124907.244851_UY_webconnectivity_9a38060ff74e747c,https://www.starvegas.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124906.054973_UY_webconnectivity_d9b18790b7387fbc,https://www.stake.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124905.114821_UY_webconnectivity_bd38cb81bf6a79e6,https://www.sportium.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124904.360155_UY_webconnectivity_d7edb249022b613f,https://www.spreadex.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124903.405131_UY_webconnectivity_c9c0bdfb9162bf86,https://www.sportingbet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124902.444462_UY_webconnectivity_445579ca67971ff2,https://www.sportimba.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124901.485126_UY_webconnectivity_c4270b187a533d9e,https://www.sportbet.ec,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124900.324846_UY_webconnectivity_84efeda118fc06f1,https://www.spinupcasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124859.320286_UY_webconnectivity_11324c16a8c17ab5,https://www.spinrider.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124858.595399_UY_webconnectivity_e0ef694891d372f9,https://www.spinpalacesports.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,504,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GAME
20250111124857.644884_UY_webconnectivity_7d2b977bbdaeae9a,https://www.spinpalace.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124856.045047_UY_webconnectivity_2daa9a6e75a57bbc,https://www.spinit.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124855.092690_UY_webconnectivity_c9b578acb7f1b569,https://www.spartanslots.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124852.884768_UY_webconnectivity_93fdfcb22b009b24,https://www.solverde.pt,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124852.204446_UY_webconnectivity_9aa760bb5cd28b0c,https://www.solbet.pe,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124851.244980_UY_webconnectivity_5209121d8e3809ed,https://www.sloty.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124850.404279_UY_webconnectivity_622b2a73b9573ad9,https://www.slotsmillion.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","MILX, GOVT"
20250111124849.644389_UY_webconnectivity_a2d72a9c93d1aed2,https://www.slotsmagic.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124848.365054_UY_webconnectivity_772b96315b965a71,https://www.slotsdelsolonline.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124847.074476_UY_webconnectivity_64ca99f612bcaa9c,https://www.slotscapital.lv,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124845.485479_UY_webconnectivity_e59b64ce95a87e7c,https://www.slotpark.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124844.524378_UY_webconnectivity_a4cf8c367338d6f1,https://www.slotocash.im,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124842.934862_UY_webconnectivity_69aab0f719fd00c6,https://www.slotjava.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124836.194652_UY_webconnectivity_9ae563b1c1cf3b8b,https://www.sharplotto.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124834.592811_UY_webconnectivity_55a03e4659e9c5b3,https://www.shadowbetcasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124833.004913_UY_webconnectivity_1a3f1803da4b003f,https://www.shadowbet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124830.774629_UY_webconnectivity_e7ff29de98502814,https://www.sellatuparley.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124831.394595_UY_webconnectivity_49d205b6d1399f39,https://www.scasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124829.804890_UY_webconnectivity_5ac683c16bee6e7d,https://www.rustbet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,526,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124828.844898_UY_webconnectivity_823b0fa99f2dd853,https://www.rubyfortune.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124826.924977_UY_webconnectivity_072ee40f8b0e09ec,https://www.royalvegascasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124825.404447_UY_webconnectivity_2aa85a93bb6c30f9,https://www.royalpanda.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124824.674948_UY_webconnectivity_6ee01aea62c3cf55,https://www.roxypalace.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,503,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124824.005046_UY_webconnectivity_caf707291f200148,https://www.rivernilecasino.net,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124808.364128_UY_webconnectivity_356d9eb4069ce500,https://www.riverbellecasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124804.840970_UY_webconnectivity_ba780eb5edefa92e,https://www.richreels.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124802.984350_UY_webconnectivity_123183766f6e85e5,https://www.rivalo.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124802.324798_UY_webconnectivity_780b1dc9489f2bc7,https://www.retabet.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124801.644570_UY_webconnectivity_98fde4d3fb11c7d1,https://www.redstagcasino.eu,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124800.374331_UY_webconnectivity_b02284a69054b420,https://www.redkings.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124758.641548_UY_webconnectivity_1595959448e9eb6d,https://www.redflushcasino.eu,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124743.104839_UY_webconnectivity_2236a979e53e112f,https://www.redbet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,503,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124742.445203_UY_webconnectivity_a1b7e9434401be8b,https://www.pwr.bet,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124741.715115_UY_webconnectivity_33155d49b765633f,https://www.prontobet.club,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124741.112532_UY_webconnectivity_d7bffc01a35d0554,https://www.premierpoker.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124740.441893_UY_webconnectivity_afdda24af15bd5d4,https://www.premierpokerclub.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124739.805000_UY_webconnectivity_68ed38f562ec776f,https://www.pokerstarscasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124738.844608_UY_webconnectivity_f79d6e9a3092ddc7,https://www.pokerstars.pt,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124737.684367_UY_webconnectivity_10ed5fd96deb6241,https://www.pokerstars.net,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124736.924984_UY_webconnectivity_0616197b6d8205ed,https://www.pokerstars.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124735.962965_UY_webconnectivity_1280f09a69ec7dbf,https://www.playuzu.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124733.765212_UY_webconnectivity_6408b88f08e2b721,https://www.playzee.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124734.995356_UY_webconnectivity_748d8271c4b8be6e,https://www.playojo.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124733.073108_UY_webconnectivity_13178cd17c1f0d41,https://www.playfrank.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124731.825134_UY_webconnectivity_2613e31894e4525c,https://www.playbonds.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124731.164846_UY_webconnectivity_72049da82761b4b4,https://www.playbet.com.co,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124729.604640_UY_webconnectivity_36c52a326de414c8,https://www.playamo.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124730.524136_UY_webconnectivity_685f985d97f84d20,https://www.play2wincasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","GAME, GMB"
20250111124728.913179_UY_webconnectivity_715bb76d1b6627d3,https://www.placard.pt,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124726.800893_UY_webconnectivity_f46349913d216812,https://www.planetwin365.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124726.034926_UY_webconnectivity_97ab1ef2c8628a56,https://www.pirlo.tv/,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.1.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124725.144986_UY_webconnectivity_83e0aa5a54bbc152,https://www.pinnacle.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124724.475154_UY_webconnectivity_d23356720d3de340,https://www.pin-up.casino,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124723.794506_UY_webconnectivity_f6bb64402bbaa3dc,https://www.phoeniciancasino.eu,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124722.552408_UY_webconnectivity_1e1847f53ce15a7a,https://www.paston.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124721.904509_UY_webconnectivity_af13cf0174547ad0,https://www.partygammon.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124721.204976_UY_webconnectivity_91d7886eb5618841,https://www.partycasino.es,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124720.571738_UY_webconnectivity_2b20d0f7df51d55e,https://www.paradisecasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124704.939179_UY_webconnectivity_d719c293a2d99ac1,https://www.onlinebigbola.mx,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124704.279892_UY_webconnectivity_6ed479d4c2585d91,https://www.onlinecasinocentral.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124703.319896_UY_webconnectivity_f3914db974244ebd,https://www.olimpbet.kz,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124702.379390_UY_webconnectivity_9d2027d1895b7229,https://www.omnicasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124701.409656_UY_webconnectivity_1de0b0d1f2ef36cb,https://www.oceanonlinecasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124700.450001_UY_webconnectivity_f3367c547e68e83a,https://www.oddspedia.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124659.809863_UY_webconnectivity_e71e7e57bb722a70,https://www.nobonuscasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}","IGO, GMB"
20250111124658.849585_UY_webconnectivity_bc631181946a1c43,https://www.nossaaposta.pt,,connection_refused,inconsistent,False,AS6057,200.40.53.104,-1,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
20250111124657.924050_UY_webconnectivity_094872c6746c4b12,https://www.nextcasino.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124657.329567_UY_webconnectivity_1da9e7b5dae021fe,https://www.nairabet.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",GMB
20250111124656.600006_UY_webconnectivity_ec93de768804f608,https://www.mummysgold.com,,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}",OTHER
