measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250111230549.711023_AR_webconnectivity_2dde082f77bf5f6d,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220835.522681_AR_webconnectivity_ac8590e8e717f10f,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220659.126378_AR_webconnectivity_9f1da9f5c8ebde51,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220643.357820_AR_webconnectivity_97db896ae0e95a40,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220641.119914_AR_webconnectivity_31441fe984f26901,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220639.518329_AR_webconnectivity_0d5c68586e9a422d,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220549.979187_AR_webconnectivity_c0642f3eb69f9c82,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220436.056141_AR_webconnectivity_c23fee90e33a2ed0,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220429.655260_AR_webconnectivity_fdebe165071867b0,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111220425.824971_AR_webconnectivity_8051873879d71d66,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111200931.990666_AR_webconnectivity_414d1f0e9502932b,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111200745.731219_AR_webconnectivity_372739907bbe547c,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111200653.074644_AR_webconnectivity_940d1277310095c1,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111200651.306636_AR_webconnectivity_6ac1cd8d7247d4d5,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183804.391082_AR_webconnectivity_93e7ed3e495cb094,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183757.671117_AR_webconnectivity_026dba55914aa0de,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183750.953801_AR_webconnectivity_51b5e3735a571482,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183748.625016_AR_webconnectivity_595b9b441d06ea85,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183747.111652_AR_webconnectivity_cad05fcfd235b7dc,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183745.887780_AR_webconnectivity_4a8a25519df96815,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183744.231705_AR_webconnectivity_96cea58fe89f4a96,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183742.800995_AR_webconnectivity_e42838dd5c6e7c9b,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183740.071908_AR_webconnectivity_920e8b4928d58530,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183732.543496_AR_webconnectivity_ca93a8f572c03368,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183729.521405_AR_webconnectivity_5f5d2404fe29c6b0,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183727.591397_AR_webconnectivity_dc71f9c8643032e1,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183725.041572_AR_webconnectivity_c5ecba756f7be7b7,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183722.303606_AR_webconnectivity_46cec2d159b8d839,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183719.547581_AR_webconnectivity_b8870dac4647d650,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183706.222016_AR_webconnectivity_a2467987877058c4,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183653.726256_AR_webconnectivity_1866b34f078f3347,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183652.222178_AR_webconnectivity_a63ba2cd46589605,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183650.780706_AR_webconnectivity_0f7295b0a23e4550,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183649.470396_AR_webconnectivity_16be29dea28a07bd,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183632.864536_AR_webconnectivity_dca4a70765286d61,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183610.617544_AR_webconnectivity_e4b40f51c33669d8,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183608.494427_AR_webconnectivity_dc2c3d7d2f20e63a,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183559.223009_AR_webconnectivity_4db08da4341fe4dc,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183546.744954_AR_webconnectivity_ddf60f4781015d5f,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183545.138901_AR_webconnectivity_132b872873db4ec8,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183511.705000_AR_webconnectivity_b3996c487d85d90d,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183510.137374_AR_webconnectivity_8a5b4bf8c93182f6,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183508.335607_AR_webconnectivity_fe33ea4984642478,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111183256.048091_AR_webconnectivity_a4314ff160d46edc,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111182905.396647_AR_webconnectivity_e0428863613d8565,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111182636.273999_AR_webconnectivity_18abbb3b8d3290a1,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111182601.670162_AR_webconnectivity_8994fc045e7c23af,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
20250111182555.926103_AR_webconnectivity_d9f635cd10647d60,android_dns_cache_no_data,None,inconsistent,False,AS212238,84.252.114.4,-1,None,None
