measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250110192551.711988_DO_webconnectivity_86ce32dd3069ce94,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192523.051634_DO_webconnectivity_1f5daed4cf23621d,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192443.711581_DO_webconnectivity_c6e4fdc5f03e35c4,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192244.166287_DO_webconnectivity_5edfcca8fb5b69c4,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192205.153607_DO_webconnectivity_1763e917d6571f44,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192118.810927_DO_webconnectivity_f8cb8a98fb6665d1,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192116.596028_DO_webconnectivity_e1c7824302f47b49,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110192110.292450_DO_webconnectivity_2b9201364e8465e7,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110191752.283038_DO_webconnectivity_7f28db340019393c,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,200,None,None
20250110191750.763626_DO_webconnectivity_ff1c40eec4095d52,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,200,None,None
20250110191654.468597_DO_webconnectivity_768032f0fdcf5448,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184649.742794_DO_webconnectivity_50e1a3b0f2563e90,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184645.508245_DO_webconnectivity_7825473f0f626d1c,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184643.334612_DO_webconnectivity_c5e6618ab9467114,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184523.467505_DO_webconnectivity_64219263bd59b01c,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184505.479812_DO_webconnectivity_54e3619addd6fc65,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184503.188269_DO_webconnectivity_f17a1df1d0d252b2,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184337.096080_DO_webconnectivity_a308908a6d2eb2f7,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110184225.101561_DO_webconnectivity_d5cbcb2fb34fbfbf,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110183757.142205_DO_webconnectivity_39b934eab64a4d84,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
20250110183612.336311_DO_webconnectivity_a2367aad4ee6ec4b,android_dns_cache_no_data,None,inconsistent,False,AS137409,31.217.248.139,-1,None,None
