measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250111164302.475515_UY_webconnectivity_f84dc3c0b3b45ca4,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111164158.375059_UY_webconnectivity_5188665ebc14c791,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163841.067258_UY_webconnectivity_5c2bae88dbd4001e,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163540.159430_UY_webconnectivity_e248aca7d8bcc4d7,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163453.298208_UY_webconnectivity_33ab091a23d2f5cc,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163204.247580_UY_webconnectivity_054a9c13d5c5b511,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163146.154587_UY_webconnectivity_92d9952298117458,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111163139.912991_UY_webconnectivity_b041879ddadfd5c2,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155639.431461_UY_webconnectivity_4b5cd0de91e59d50,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155635.351370_UY_webconnectivity_bb916418805cd64d,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155632.710917_UY_webconnectivity_bbf574a68ca7dbc5,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155513.501480_UY_webconnectivity_d3b479e302ba4c1f,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155500.083349_UY_webconnectivity_d9bea1fa8882e9fb,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155352.553596_UY_webconnectivity_985f95b819a60588,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111155248.571680_UY_webconnectivity_1c8eee1ea8cca430,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154853.201024_UY_webconnectivity_391d6881ac3d9a6d,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154722.008989_UY_webconnectivity_b7fa2736e526d665,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154719.441850_UY_webconnectivity_d0e3ccfae98b517a,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154717.209115_UY_webconnectivity_f5a963f2d5b17aef,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154714.651053_UY_webconnectivity_5109936163718e6e,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111154053.804014_UY_webconnectivity_c2b70db6a385ac80,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,200,None,None
20250111154051.656894_UY_webconnectivity_567d4e842b0b0b41,None,connection_refused,inconsistent,False,AS6057,200.40.53.104,403,127.0.0.1,"{'failure': 'connection_refused', 'success': False}"
20250111154050.608982_UY_webconnectivity_6d2683317f2017bf,None,connection_refused,inconsistent,False,AS6057,200.40.53.104,200,127.0.0.1,"{'failure': 'connection_refused', 'success': False}"
20250111153954.966877_UY_webconnectivity_5b2eebffa5bc5d97,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153954.048896_UY_webconnectivity_9f60a832dcf9ff71,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153952.746512_UY_webconnectivity_212465e95e874415,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153953.398100_UY_webconnectivity_948f1d06d0744272,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153952.044444_UY_webconnectivity_168779ba10d7d221,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153946.928005_UY_webconnectivity_fddac0a2a0ebd281,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153945.736445_UY_webconnectivity_2cb7b3c07045fd17,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153945.038369_UY_webconnectivity_62562fefb55963a7,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153944.078504_UY_webconnectivity_142b481ffbfc3fe3,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153940.226492_UY_webconnectivity_63743c1adb445d1e,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153938.658316_UY_webconnectivity_bf42aeb4aca695c1,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153902.838844_UY_webconnectivity_32bec97fdd405cbb,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153842.379212_UY_webconnectivity_9479fcc74c8746d1,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153836.377436_UY_webconnectivity_5178a6478d9fb761,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153835.009505_UY_webconnectivity_a6435cbe2140190c,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153834.047117_UY_webconnectivity_08d1e8babda911db,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153833.407831_UY_webconnectivity_c006c9ae2b71304a,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153832.457419_UY_webconnectivity_de65e5724b56f8ca,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153830.948686_UY_webconnectivity_b05236343cfaaf7a,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153829.629133_UY_webconnectivity_d53fe2b552401a5e,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153806.226945_UY_webconnectivity_df0b191e8d803c42,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153749.060472_UY_webconnectivity_cad0fccf2cd3a22b,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153748.003377_UY_webconnectivity_462bb258baf34fb7,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153643.540617_UY_webconnectivity_abe4f87ccf4ec9f4,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153642.430703_UY_webconnectivity_53230151817487e9,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
20250111153617.018522_UY_webconnectivity_acc8342cc0060a7e,android_dns_cache_no_data,None,inconsistent,False,AS6057,200.40.53.104,-1,None,None
