measurement_uid,input,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108225911.588322_UY_webconnectivity_8012d7063f726b42,http://www.cencoex.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224757.857569_UY_webconnectivity_011f691aa3f16fd2,https://pwchyt.awsvpni.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224733.519065_UY_webconnectivity_aec58352060aec07,https://mariacorinamundo.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224728.069213_UY_webconnectivity_ef4592c3cfb566d4,https://comanditos.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224725.599719_UY_webconnectivity_ac7c03b6725f6ef2,https://ooni.cloudflare-dns.com/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224727.007538_UY_webconnectivity_ed5ad3d096fda6d5,http://notiviasve.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224715.646684_UY_webconnectivity_6fdcaa1ae74cee3a,http://cantv.net/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224659.806191_UY_webconnectivity_e1a6bef6f3719fec,https://cloudapp.net,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224659.101936_UY_webconnectivity_cbbbd821ae9f3716,https://blob.core.windows.net/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224658.382722_UY_webconnectivity_166c2bd59e2ffbd6,https://azurewebsites.net,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108224555.589778_UY_webconnectivity_4f93af36a3d8e0bc,https://pelisplus.me/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108223634.856021_UY_webconnectivity_9ebc6ce90f86a314,https://vamosganar.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108223543.986585_UY_webconnectivity_80567bfd8a91524c,https://www.mariacorinapresidente.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108223508.330239_UY_webconnectivity_ee4b28edd58dde92,https://cdninstagram.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108223456.291396_UY_webconnectivity_0034e3732a24a378,http://www.cne.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108223324.607145_UY_webconnectivity_865791c9419da8c5,https://surbitcoin.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108220738.628097_UY_webconnectivity_cab0c78c4eb30c1f,http://partidounnuevotiempo.org/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108220628.681743_UY_webconnectivity_61a0d7745d2d8527,https://primariaexteriorve.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108220531.377395_UY_webconnectivity_ccd5f32f0185536d,http://primariaexteriorve.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108215431.371532_UY_webconnectivity_66d940d20c1c533f,https://d3l0kqj5h9z9zs.cloudfront.net/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108215417.244281_UY_webconnectivity_7d052db4e1eec0c1,http://www.museomarino.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,403,None,None
20250108213608.351674_UY_webconnectivity_107446d8c05f9577,https://www.unifertes.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108213507.526097_UY_webconnectivity_d26402c4da51223b,https://www.ona.gob.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108213504.526048_UY_webconnectivity_b7d66d1e6c9674a2,https://www.cinecalidad.to/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108210259.830253_UY_webconnectivity_12556d1e79fd7fd7,https://www.inspirulina.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203945.249868_UY_webconnectivity_218f9589cd27b23f,https://www.elinformador.com.ve/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203932.458189_UY_webconnectivity_f735b25fa4b5217d,http://www.islamdoor.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203931.552084_UY_webconnectivity_5624d1d9e48af216,https://thepiratebay.se/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203928.801464_UY_webconnectivity_1ec1e8ee4922e817,http://www.wikispaces.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203929.874845_UY_webconnectivity_ef6c5a0476a975a0,http://imesh.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203928.104888_UY_webconnectivity_f6f15861b079adca,http://www.partypoker.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,403,None,None
20250108203927.380611_UY_webconnectivity_4d6a542d6bdf3563,http://www.goldenrivieracasino.com/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203924.639966_UY_webconnectivity_4f195946fdc569b5,https://www.asstr.org/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203859.396411_UY_webconnectivity_07377a882bd213e5,https://voces.com.uy/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203855.490331_UY_webconnectivity_8f580d144e78a8c5,https://hacienda.gob.ni,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203854.134755_UY_webconnectivity_1ec8b7ca2af45c49,http://www.fgmnetwork.org/,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203802.658203_UY_webconnectivity_894df36384660146,https://www.zodiaccasino.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203757.936326_UY_webconnectivity_460f2a7c90339e7e,https://www.zamba.co,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203752.702760_UY_webconnectivity_9384f5934b395959,https://www.yukongoldcasino.eu,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203749.837060_UY_webconnectivity_fafe433e68a6fd04,https://www.yocasino.es,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203750.625694_UY_webconnectivity_0ca1306f26a3642d,https://www.yobingo.es,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203749.034543_UY_webconnectivity_f0369f6af4978966,https://www.yesbingo.co.uk,None,ssl_invalid_hostname,inconsistent,False,AS19422,200.58.141.25,200,200.58.157.165,"{'blocked': False, 'failure': None, 'success': True}"
20250108203747.188002_UY_webconnectivity_5a687544dc503142,https://www.yakocasino.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203746.221276_UY_webconnectivity_82a1b627308123fe,https://www.vivelasuerte.es,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,-1,None,None
20250108203745.320737_UY_webconnectivity_6a6d5531170a7604,https://www.virgingames.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203744.417641_UY_webconnectivity_4f5ccecc5dd9df89,https://www.villento.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,200,None,None
20250108203743.153477_UY_webconnectivity_ea1a468e15c5aebb,https://www.videoslots.com,android_dns_cache_no_data,None,inconsistent,False,AS19422,200.58.141.25,403,None,None
