measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250109232253.257609_US_webconnectivity_5e7901706c628929,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109223317.386040_US_webconnectivity_238e0299a8bb639e,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,403,None,None
20250109220420.523392_US_webconnectivity_c34d2ca01f4511ed,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109220232.586400_US_webconnectivity_8575366237901286,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215915.686150_US_webconnectivity_e52caef4e409b426,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215729.058806_US_webconnectivity_895a684fffef3588,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215727.618188_US_webconnectivity_e3767e698c572a55,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215725.998388_US_webconnectivity_bfc6bc956f1f2ad8,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215327.461433_US_webconnectivity_28788a82b78cb4cf,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215302.780128_US_webconnectivity_ef53d519f5f1136f,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215301.013657_US_webconnectivity_116a9e67277d9aa0,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109215259.269944_US_webconnectivity_88bd3e579309b31c,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109214930.045618_US_webconnectivity_ce31003ab093f70a,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109213926.607452_US_webconnectivity_2f79a1a009d15af3,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109213258.351030_US_webconnectivity_26db41105dfcc865,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109212845.957216_US_webconnectivity_a2409cd22f124595,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109212826.457885_US_webconnectivity_f65924ddcfb021d0,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109212623.882655_US_webconnectivity_5ff2b11fd5f179be,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109212555.296883_US_webconnectivity_019065c44c590dd9,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109212537.510540_US_webconnectivity_16c95f23c26d4e80,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109212455.422339_US_webconnectivity_2f0b0ea7200509c7,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109210513.948108_US_webconnectivity_e4607ec9c5ad6ba4,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109205836.587478_US_webconnectivity_4d6eec25b8e48b23,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,403,None,None
20250109205749.157455_US_webconnectivity_9828650e940caac1,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109205541.791734_US_webconnectivity_6cc165b54a3687e8,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109205540.399486_US_webconnectivity_0f3294d68c8abd75,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109205138.019810_US_webconnectivity_2221148cbcfffcea,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109202906.448481_US_webconnectivity_012c8e9121946243,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109193938.941508_US_webconnectivity_8e7d5ff1e6e92b3d,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109193622.677572_US_webconnectivity_4ca273431e1430ae,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,403,None,None
20250109192311.687813_US_webconnectivity_3319859b6cd44380,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109190441.766573_US_webconnectivity_a9fcc87a44ef3b81,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109190408.127070_US_webconnectivity_c5343ce8e5ff08c4,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109190358.344527_US_webconnectivity_ea0fb6159404ffa9,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109182343.974638_US_webconnectivity_41058acffa4f950d,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174500.621008_US_webconnectivity_1ac7381477908b63,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174401.350549_US_webconnectivity_ebd2730d06f8009b,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174344.343865_US_webconnectivity_3eebb743a9fa9d61,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174342.558278_US_webconnectivity_0e7aaa82fbb4a654,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174340.772417_US_webconnectivity_4b467ab13be4f0db,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174301.650145_US_webconnectivity_b79bbe0a384b3081,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174239.040757_US_webconnectivity_7fd5397d08a9c91d,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,200,None,None
20250109174225.408898_US_webconnectivity_a6db4d921b8aa03c,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174219.765585_US_webconnectivity_e1248f3e4f70d462,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109174217.077334_US_webconnectivity_14829391c6351e94,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109154522.993949_US_webconnectivity_6998c5ba70a84691,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109154329.877131_US_webconnectivity_920a36c40cbd616a,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109154227.975606_US_webconnectivity_4d6030ed5fd73e34,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109144720.212933_US_webconnectivity_c4f7118b94b8180e,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109141621.045508_US_webconnectivity_b48f21c64873f4c1,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
20250109141608.505100_US_webconnectivity_71999f4d8af3244c,android_dns_cache_no_data,None,inconsistent,False,AS9009,89.45.224.3,-1,None,None
