measurement_uid,dns_experiment_failure,http_experiment_failure,dns_consistency,accessible,resolver_asn,resolver_ip,status_code,tcp_ip,tcp_status
20250108184147.996364_JM_webconnectivity_453403efa23deffd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184146.164103_JM_webconnectivity_d0dab69546b04271,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184144.601318_JM_webconnectivity_c51fdd89a43cebb8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184142.622071_JM_webconnectivity_5fd9b34f2ea39b42,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184141.319867_JM_webconnectivity_96d7b368265ea480,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184140.183819_JM_webconnectivity_23fef6a12ed26dbf,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184138.249440_JM_webconnectivity_a539c6db3d0cdc30,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184137.193066_JM_webconnectivity_2a85cd83dc5d5790,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184135.339603_JM_webconnectivity_e617b4307102085e,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184133.940084_JM_webconnectivity_2dd678214a04cc28,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184131.651270_JM_webconnectivity_b552b4148b93895c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184128.881865_JM_webconnectivity_a6881768a6bff2cb,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184126.860480_JM_webconnectivity_30a9d68402aa873f,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184124.801158_JM_webconnectivity_70fecd473db2b25c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184122.343512_JM_webconnectivity_a2eb59b1d0e8c2cc,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184116.161434_JM_webconnectivity_99e12522fccf6e13,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184114.232131_JM_webconnectivity_62523ced2015c465,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184112.962631_JM_webconnectivity_8be631847439262d,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184110.795551_JM_webconnectivity_8eb501296acc4cdd,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184109.518501_JM_webconnectivity_069ce9fc54877d89,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184055.057483_JM_webconnectivity_d80c377e496f2173,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184036.168323_JM_webconnectivity_e2c8465c86997544,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184034.660478_JM_webconnectivity_db67cb90bb59e471,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184032.770500_JM_webconnectivity_6401cbe29381905e,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184030.841435_JM_webconnectivity_5df5e3776b91a711,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108184029.521042_JM_webconnectivity_83b17ba2027e974c,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183959.658677_JM_webconnectivity_e8149d9bae3169e0,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183958.428599_JM_webconnectivity_bc4cc1ca28487baa,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183957.434166_JM_webconnectivity_623b68baeeddb313,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183910.134496_JM_webconnectivity_32be768af7cf022d,None,generic_timeout_error,inconsistent,False,AS137409,83.219.96.131,200,3.134.235.187,"{'blocked': False, 'failure': None, 'success': True}"
20250108183842.621296_JM_webconnectivity_93c9842bfd9cb90a,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183546.552137_JM_webconnectivity_8ccabae4d3aa51f8,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183535.882063_JM_webconnectivity_04cc4523f098fbea,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183528.031749_JM_webconnectivity_ed0e8b9314141055,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
20250108183524.101914_JM_webconnectivity_0ed9f6c7dd256614,android_dns_cache_no_data,None,inconsistent,False,AS137409,83.219.96.131,-1,None,None
